"","Author","Title","Key","Publication.Title","DOI","Date"
"18","Cornelissen, Gert; Dewitte, Siegfried; Warlop, Luk; Yzerbyt, Vincent","Whatever people say I am, that's what I am: Social labeling as a social marketing tool","24YUU255","International Journal of Research in Marketing","10.1016/j.ijresmar.2007.05.001",2007
"19","Thøgersen, John; Ölander, Folke","Spillover of environment-friendly consumer behaviour","8RPK2TA9","Journal of Environmental Psychology","10.1016/s0272-4944(03)00018-5",2003
"20","Osbaldiston, Richard; Schott, John Paul","Environmental Sustainability and Behavioral Science: Meta-Analysis of Proenvironmental Behavior Experiments","ZU72XFLL","Environment and Behavior","10.1177/0013916511402673",2011
"21","van der Werff, Ellen; Steg, Linda; Keizer, Kees","The value of environmental self-identity: The relationship between biospheric values, environmental self-identity and environmental preferences, intentions and behaviour","4JD25SRT","Journal of Environmental Psychology","10.1016/j.jenvp.2012.12.006",2013
"22","Burger, Jerry M.; Caldwell, David F.","The Effects of Monetary Incentives and Labeling on the Foot-in-the-Door Effect: Evidence for a Self-Perception Process","A45XBFVS","Basic and Applied Social Psychology","10.1207/s15324834basp2503_06",2003
"23","J., Daryl","SELF-PERCEPTION THEORY","I2RF5NUB","Advances in Experimental Social Psychology","10.1016/s0065-2601(08)60024-6",1972
"24","Griskevicius, Vladas; Tybur, Joshua M.; Van den Bergh, Bram","Going green to be seen: Status, reputation, and conspicuous conservation.","AFYD6QFR","Journal of personality and social psychology","10.1037/a0017346",2010
"25","Diekmann, Andreas; Preisendörfer, Peter","ENVIRONMENTAL BEHAVIOR DISCREPANCIES BETWEEN ASPIRATIONS AND REALITY","CW49JHGA","Rationality and Society","10.1177/104346398010001004",1998
"26","Wagner, Gernot","Going Green but Getting Nowhere","AJJPLVR8",NA,"10.7916/d86m3h0f",0
"27","Fransson, Niklas; Gärling, Tommy","ENVIRONMENTAL CONCERN: CONCEPTUAL DEFINITIONS, MEASUREMENT METHODS, AND RESEARCH FINDINGS","LCR8DYWA","Journal of Environmental Psychology","10.1006/jevp.1999.0141",1999
"28","Chaiken, Shelly; Baldwin, Mark W.","Affective-cognitive consistency and the effect of salient behavioral information on the self-perception of attitudes.","KX27R48I","Journal of Personality and Social Psychology","10.1037/0022-3514.41.1.1",1981
"29","Corbett, Julia B.","Communicating Nature: How We Create and Understand Environmental Messages","5E4KX6QB","","",2006
"30","van der Werff, Ellen; Steg, Linda; Keizer, Kees","It is a moral issue: The relationship between environmental self-identity, obligation-based intrinsic motivation and pro-environmental behaviour","RF6ENZDA","Global Environmental Change","10.1016/j.gloenvcha.2013.07.018",2013
"31","van der Werff, Ellen; Steg, Linda; Keizer, Kees","Follow the signal : When past pro-environmental actions signal who you are","PFVITLBA","Journal of Environmental Psychology","10.1016/j.jenvp.2014.07.004",2014
"32","Dickerson, Chris Ann; Thibodeau, Ruth; Aronson, Elliot; Miller, Dayna","Using Cognitive Dissonance to Encourage Water Conservation)","A2RY2ESZ","Journal of Applied Social Psychology","10.1111/j.1559-1816.1992.tb00928.x",1992
"33","Miller, Richard L.; Brickman, Philip; Bolen, Diana","Attribution versus persuasion as a means for modifying behavior.","I2KU5SBG","Journal of personality and social psychology","10.1037/h0076539",1975
"34","Thøgersen, John; Crompton, Tom","Simple and Painless? The Limitations of Spillover in Environmental Campaigning","448BWXF4","Journal of Consumer Policy","10.1007/s10603-009-9101-1",2009
"35","Poortinga, Wouter; Whitmarsh, Lorraine; Suffolk, Christine","The introduction of a single-use carrier bag charge in Wales: Attitude change and behavioural spillover effects","6ZY4J5LF","Journal of Environmental Psychology","10.1016/j.jenvp.2013.09.001",2013
"36","Evans, Laurel; Maio, Gregory R.; Corner, Adam; Hodgetts, Carl J.; Ahmed, Sameera; Hahn, Ulrike","Self-interest and pro-environmental behaviour","3CQXFBMN","Nature Climate Change","10.1038/nclimate1662",2012
"37","Harth, Nicole Syringa; Leach, Colin Wayne; Kessler, Thomas","Guilt, anger, and pride about in-group environmental behaviour: Different emotions predict distinct intentions","ZQZTZNW8","Journal of Environmental Psychology","10.1016/j.jenvp.2012.12.005",2013
"38","Gatersleben, Birgitta; Murtagh, Niamh; Abrahamse, Wokje","Values, identity and pro-environmental behaviour","CMVFKMWY","Contemporary Social Science","10.1080/21582041.2012.682086",2012
"39","Maniates, Michael","Individualization: Plant a Tree, Buy a Bike, Save the World?","FCR5JYTS","Global Environmental Politics","10.1162/152638001316881395",2001
"40","Lacasse, Katherine","The Importance of Being Green: The Influence of Green Behaviors on Americans’ Political Attitudes Toward Climate Change","M8IFMMC2","Environment and Behavior","10.1177/0013916513520491",2014
"41","Bamberg, Sebastian; Möser, Guido","Twenty years after Hines, Hungerford, and Tomera: A new meta-analysis of psycho-social determinants of pro-environmental behaviour","FWXX7S8Y","Journal of Environmental Psychology","10.1016/j.jenvp.2006.12.002",2007
"42","Ferguson, Mark A.; Branscombe, Nyla R.","Collective guilt mediates the effect of beliefs about global warming on willingness to engage in mitigation behavior","MENF9BH9","Journal of Environmental Psychology","10.1016/j.jenvp.2009.11.010",2010
"43","Van Prooijen, Anne-Marie; Sparks, Paul; Jessop, Donna C.","Promoting or Jeopardizing Lighter Carbon Footprints? Self-Affirmation Can Polarize Environmental Orientations","ZWIL5Q2F","Social Psychological and Personality Science","10.1177/1948550612450465",2012
"44","Fielding, Kelly S.; McDonald, Rachel I.; Louis, Winnifred R.","Theory of planned behaviour, identity and intentions to engage in environmental activism","7G2VE23J","Journal of Environmental Psychology","10.1016/j.jenvp.2008.03.003",2008
"45","Giglio, Stefano; Maggiori, Matteo; Stroebel, Johannes; Tan, Zhenhao; Utkus, Stephen; Xu, Xiao","Four Facts About ESG Beliefs and Investor Portfolios","LTKBD4BX",NA,"10.3386/w31114",2023
"46","Riedl, Arno; Smeets, Paul","Why do investors hold socially responsible mutual funds","YW6XBU7V","The Journal of Finance","10.1111/jofi.12547",2017
"47","Linnainmaa, Juhani T.; Melzer, Brian T.; Previtero, Alessandro","The Misguided Beliefs of Financial Advisors","8PEYFRH2","The Journal of Finance","10.1111/jofi.12995",2020
"48","Brodback, Daniel; Guenster, Nadja; Mezger, David","Altruism and egoism in investment decisions","3827CSP7","Review of Financial Economics","10.1002/rfe.1053",2019
"49","Gollier, Christian; Pouget, Sébastien","Investment Strategies and Corporate Behaviour with Socially Responsible Investors: A Theory of Active Ownership","9Q2IYSXT","Economica","10.1111/ecca.12436",2022
"50","CALVET, LAURENT E.; CELERIER, CLAIRE; SODINI, PAOLO; VALLEE, BORIS","Can Security Design Foster Household Risk‐Taking?","IN36X3L8","The Journal of Finance","10.1111/jofi.13232",2023
"51","Aldy, Joseph E.; Kotchen, Matthew J.; Leiserowitz, Anthony","Willingness to pay and political support for a US national clean energy standard","654NEDJF","Nature Climate Change","10.1038/nclimate1527",2012
"52","Gomes, Francisco; Haliassos, Michael; Ramadorai, Tarun","Household Finance","C5PVVY2U","Journal of Economic Literature","10.1257/jel.20201461",2021
"53","van Rooij, Maarten; Lusardi, Annamaria; Alessie, Rob","Financial literacy and stock market participation","CB9ZILRE","Journal of Financial Economics","10.1016/j.jfineco.2011.03.006",2011
"54","Falk, Armin; Becker, Anke; Dohmen, Thomas; Enke, Benjamin; Huffman, David; Sunde, Uwe","Global Evidence on Economic Preferences","3HY5CLTY","The Quarterly Journal of Economics","10.1093/qje/qjy013",2018
"55","Bakaki, Zorzeta; Bernauer, Thomas","Citizens show strong support for climate policy, but are they also willing to pay?","WSKIWHX6","Climatic Change","10.1007/s10584-017-2078-x",2017
"56","Pastor, Lubos; Stambaugh, Robert F.; Taylor, Lucian A.","Sustainable investing in equilibrium","KB3PQL2E","Journal of Financial Economics","10.1016/j.jfineco.2020.12.011",2021
"57","Meyer, Andrew G.","Does education increase pro-environmental behavior? Evidence from Europe","38ZESRJB","Ecological Economics","10.1016/j.ecolecon.2015.04.018",2015
"58","Pástor, Ľuboš; Stambaugh, Robert F.; Taylor, Lucian A.","Dissecting green returns","YWNZDLZN","Journal of Financial Economics","10.1016/j.jfineco.2022.07.007",2022
"59","Gutsche, Gunnar; Nakai, Miwa; Arimura, Toshi H.","Revisiting the determinants of individual sustainable investment—The case of Japan","PXTXUABH","Journal of Behavioral and Experimental Finance","10.1016/j.jbef.2021.100497",2021
"60","Krueger, Philipp; Sautner, Zacharias; Starks, Laura T.","The Importance of Climate Risks for Institutional Investors","BLH7YK8M","The Review of Financial Studies","10.1093/rfs/hhz137",2020
"61","Gutsche, Gunnar; Zwergel, Bernhard","Investment Barriers and Labeling Schemes for Socially Responsible Investments","ZFQSAUVK","Schmalenbach Business Review","10.1007/s41464-020-00085-z",2020
"62","Pedersen, Lasse Heje; Fitzgibbons, Shaun; Pomorski, Lukasz","Responsible Investing: The ESG-efficient Frontier","HZKKAFXQ","Journal of Financial Economics","10.1016/j.jfineco.2020.11.001",2021
"63","Gutsche, Gunnar; Ziegler, Andreas","Which private investors are willing to pay for sustainable investments? Empirical evidence from stated choice experiments","BTBELQ27","Journal of Banking & Finance","10.1016/j.jbankfin.2019.03.007",2019
"64","An, Jake; Briley, Donnel; Danziger, Shai; Levi, Shai","The Impact of Social Investing on Charitable Donations","7994WIYG","Management Science","10.1287/mnsc.2022.4339",2023
"65","Foerster, Stephen R.; Linnainmaa, Juhani T.; Melzer, Brian T.; Previtero, Alessandro","Retail Financial Advice: Does One Size Fit All?","497XIYYK","The Journal of Finance","10.1111/jofi.12514",2017
"66","von Gaudecker, Hans-Martin","How Does Household Portfolio Diversification Vary with Financial Literacy and Financial Advice","MAAM6C2E","The Journal of Finance","10.1111/jofi.12231",2015
"67","Rossi, Mariacristina; Sansone, Dario; van Soest, Arthur; Torricelli, Costanza","Household preferences for socially responsible investments","5YG6RDRJ","Journal of Banking & Finance","10.1016/j.jbankfin.2019.05.018",2019
"68","Bauer, Rob; Smeets, Paul","Social identification and investment decisions","K89ZZZWQ","Journal of Economic Behavior & Organization","10.1016/j.jebo.2015.06.006",2015
"69","Guiso, Luigi; Sodini, Paolo","Chapter 21 - Household Finance: An Emerging Field∗","72XXBHXH","Handbook of the Economics of Finance","10.1016/b978-0-44-459406-8.00021-4",2013
"70","Guiso, Luigi; Jappelli, Tullio","Awareness and Stock Market Participation","LZMC2KAQ","Review of Finance","10.1007/s10679-005-5000-8",2005
"71","Humphrey, Jacquelyn E.; Kogan, Shimon; Sagi, Jacob S.; Starks, Laura T.","The Asymmetry in Responsible Investing Preferences","KVCNV4UW",NA,"10.3386/w29288",2021
"72","Bursztyn, Leonardo; Ederer, Florian; Ferman, Bruno; Yuchtman, Noam","Understanding Mechanisms Underlying Peer Effects: Evidence From a Field Experiment on Financial Decisions","SGU8T8J8","Econometrica","10.3982/ecta11991",2014
"73","STARKS, LAURA T.","Presidential Address: Sustainable Finance and ESG Issues—ValueversusValues","373N3W6Q","The Journal of Finance","10.1111/jofi.13255",2023
"74","Barber, Brad M.; Odean, Terrance","The Handbook of News Analytics in Finance - All That Glitters: The Effect of Attention and News on the Buying Behavior of Individual and Institutional Investors","WTXZDV4J","Review of Financial Studies","10.1093/rfs/hhm079",2007
"75","Broccardo, Eleonora; Hart, Oliver; Zingales, Luigi","Exit versus Voice","493IS7ZA","Journal of Political Economy","10.1086/720516",2022
"76","Kaustia, Markku; Torstila, Sami","Stock market aversion? Political preferences and stock market participation☆","XRPAKZV6","Journal of Financial Economics","10.1016/j.jfineco.2010.10.017",2011
"77","Barber, Brad M.; Morse, Adair; Yasuda, Ayako","Impact investing","KHUY4FXK","Journal of Financial Economics","10.1016/j.jfineco.2020.07.008",2021
"78","Egan, Daniel; Merkle, Christoph; Weber, Martin","Second-order beliefs and the individual investor","T5U4UCGE","Journal of Economic Behavior & Organization","10.1016/j.jebo.2014.04.001",2014
"79","Guiso, Luigi; Sapienza, Paola; Zingales, Luigi","Trusting the stock market","Q3U5F5P2","The Journal of Finance","10.1111/j.1540-6261.2008.01408.x",2008
"80","Noussair, Charles; Trautmann, Stefan T.; van de Kuilen, Gijs","Higher Order Risk Attitudes, Demographics, and Financial Decisions","C66Z5NTB","The Review of Economic Studies","10.1093/restud/rdt032",2013
"81","Filippini, Massimo; Leippold, Markus; Wekhof, Tobias","Sustainable finance literacy and the determinants of sustainable investing","FH8JV4BV","Journal of Banking & Finance","10.1016/j.jbankfin.2024.107167",2024
"82","Yang, Ruoke","What do we learn from ratings about corporate social responsibility? New evidence of uninformative ratings","I875NGCV","Journal of Financial Intermediation","10.1016/j.jfi.2022.100994",2022
"83","Døskeland, Trond; Pedersen, Lars Jacob Tynes","Investing with Brain or Heart? A Field Experiment on Responsible Investment","JDYD2JBX","Management Science","10.1287/mnsc.2015.2208",2016
"84","Di Giuli, Alberta; Kostovetsky, Leonard","Are Red or Blue Companies More Likely to go Green? Politics and Corporate Social Responsibility*","C5CJ79KF","Journal of Financial Economics","10.1016/j.jfineco.2013.10.002",2014
"85","Siemroth, Christoph; Hornuf, Lars","Why Do Retail Investors Pick Green Investments? A Lab-in-the-Field Experiment with Crowdfunders","P3Y2WSRG","Journal of Economic Behavior & Organization","10.1016/j.jebo.2023.02.023",2023
"86","Bauer, Rob; Ruof, Tobias; Smeets, Paul","Get Real! Individuals Prefer More Sustainable Investments","RFPXB3EV","The Review of Financial Studies","10.1093/rfs/hhab037",2021
"87","Brunen, Ann-Christine; Laubach, Oliver","Do sustainable consumers prefer socially responsible investments? A study among the users of robo advisors","NAQ6H3WG","Journal of Banking & Finance","10.1016/j.jbankfin.2021.106314",2022
"88","Merkoulova, Yulia; Veld, Chris","Stock-Return Ignorance","J56PXB7R","Journal of Financial Economics","10.1016/j.jfineco.2021.06.016",2022
"89","Weber, Martin; Weber, Elke U.; Nosic, Alen","Who takes Risks When and Why: Determinants of Changes in Investor Risk Taking*","NEA3X5HR","Review of Finance","10.1093/rof/rfs024",2012
"90","Parise, Gianpaolo; Peijnenburg, Kim","Noncognitive Abilities and Financial Distress: Evidence from a Representative Household Panel","PXTEVCZJ","The Review of Financial Studies","10.1093/rfs/hhz010",2019
"91","Hackethal, Andreas; Haliassos, Michael; Jappelli, Tullio","Financial advisors: A case of babysitters?","EJSRP2HM","Journal of Banking & Finance","10.1016/j.jbankfin.2011.08.008",2012
"92","Cocco, Joao F.; Gomes, Francisco; Maenhout, Pascal J.","Consumption and Portfolio Choice over the Life Cycle","37SGLZY5","Review of Financial Studies","10.1093/rfs/hhi017",2005
"93","Georgarakos, Dimitris; Pasini, Giacomo","Trust, Sociability, and Stock Market Participation","PDP7TWNJ","Review of Finance","10.1093/rof/rfr028",2011
"94","Dimmock, Stephen G.; Kouwenberg, Roy; Mitchell, Olivia S.; Peijnenburg, Kim","Estimating Ambiguity Preferences and Perceptions in Multiple Prior Models: Evidence from the Field","BACD2TME","Journal of risk and uncertainty","10.1007/s11166-015-9227-2",2015
"95","Gutsche, Gunnar; Wetzel, Heike; Ziegler, Andreas","Determinants of individual sustainable investment behavior - A framed field experiment","QUI8935B","Journal of Economic Behavior & Organization","10.1016/j.jebo.2023.03.016",2023
"96","Hartzmark, Samuel M.; Sussman, Abigail B.","Do Investors Value Sustainability? A Natural Experiment Examining Ranking and Fund Flows","9MWJSZXJ","The Journal of Finance","10.1111/jofi.12841",2019
"97","Dimmock, Stephen G.; Kouwenberg, Roy; Wakker, Peter P.","Ambiguity Attitudes in a Large Representative Sample","CZC62K8A","Management Science","10.1287/mnsc.2015.2198",2016
"98","Heeb, Florian; Kölbel, Julian F; Paetzold, Falko; Zeisberger, Stefan","Do Investors Care about Impact?","D3UZKNQE","The Review of Financial Studies","10.1093/rfs/hhac066",2022
"99","Falk, Armin; Becker, Anke; Dohmen, Thomas; Huffman, David; Sunde, Uwe","The Preference Survey Module: A Validated Instrument for Measuring Risk, Time, and Social Preferences","PDTYI4PJ","Management Science","10.1287/mnsc.2022.4455",2023
"100","Berg, Florian; Kölbel, Julian F; Rigobon, Roberto","Aggregate Confusion: The Divergence of ESG Ratings","TY9TWQ6S","Review of Finance","10.1093/rof/rfac033",2022
"101","Anderson, Anders; Robinson, David T","Financial Literacy in the Age of Green Investment","VQVKHSVA","Review of Finance","10.1093/rof/rfab031",2021
"102","Hong, Harrison; Kacperczyk, Marcin","The price of sin: The effects of social norms on markets","6E39CEMY","Journal of Financial Economics","10.1016/j.jfineco.2008.09.001",2009
"103","Tranter, Bruce; White, Rob","Share-ownership and the triple bottom line: A preliminary study","55M9UGCK",NA,"",2001
"104","Co, H. C.; Chew, K.S.","Performance and R&D expenditures in American and Japanese manufacturing firms","VPNWVQF8","International Journal of Production Research","10.1080/002075497194101",1997
"105","McLachlan, Jonathan; Gardner, John","A Comparison of Socially Responsible and Conventional Investors","DE2XSLPZ","Journal of Business Ethics","10.1023/b:busi.0000033104.28219.92",2004
"106","Anand, Paul; Cowton, Christopher J.","The ethical investor: exploring dimensions of investment behaviour","PH29PW5V","Journal of Economic Psychology","10.1016/0167-4870(93)90007-8",1993
"107","Shultz, Susan","Social Investment Forum","4FFC8H5B","Journal of Business & Finance Librarianship","10.1300/j109v11n02_06",2006
"108","Koellner, Thomas; Weber, Olaf; Fenchel, Marcus; Scholz, Roland W.","Principles for sustainability rating of investment funds","BFNVPPLH","Business Strategy and the Environment","10.1002/bse.423",2005
"109","Capelle-Blancard, Gunther; Monjon, Stéphanie","Trends in the literature on socially responsible investment: looking for the keys under the lamppost","3SINUUQA","Business Ethics: A European Review","10.1111/j.1467-8608.2012.01658.x",2012
"110","Escrig-Olmedo, Elena; Muñoz-Torres, María Jesús; Fernández-Izquierdo, María Ángeles","Socially responsible investing: sustainability indices, ESG rating and information provider agencies","VENDYH8U","International Journal of Sustainable Economy","10.1504/ijse.2010.035490",2010
"111","Roberts, James A.","Profiling Levels of Socially Responsible Consumer Behavior: A Cluster Analytic Approach and Its Implications for Marketing","TFY9EX44","Journal of Marketing Theory and Practice","10.1080/10696679.1995.11501709",1995
"112","Jones, Stewart; van der Laan, Sandra; Frost, Geoff; Loftus, Janice","The Investment Performance of Socially Responsible Investment Funds in Australia.","WV88R2FU","Journal of Business Ethics","10.1007/s10551-007-9412-6",2007
"113","Nilsson, Jonas","Segmenting socially responsible mutual fund investors: The influence of financial return and social responsibility","SMIH9YKS","International Journal of Bank Marketing","10.1108/02652320910928218",2009
"114","Haigh, Matthew","What Counts in Social Managed Investments: Evidence from an International Survey","QT9TG7SZ","Advances in Public Interest Accounting","10.1016/s1041-7060(07)13003-0",0
"115","Aslaksen, Iulie; Synnestvedt, Terje","Ethical investment and the incentives for corporate environmental protection and social responsibility","PKAI4GQZ","Corporate Social Responsibility and Environmental Management","10.1002/csr.47",2003
"116","Beal, Diana; Goyen, Michelle; Philips, Peter","Why Do We Invest Ethically","GETCGXNH","The Journal of Investing","10.3905/joi.2005.580551",2005
"117","Renneboog, Luc; Horst, J.R. Ter; Zhang, Chendi","Socially responsible investments: Institutional aspects, performance, and investor behavior","Y5FS9ZTD","Journal of Banking & Finance","10.1016/j.jbankfin.2007.12.039",2008
"118","Lewis, Alan; Mackenzie, Craig","Morals, money, ethical investing and economic psychology","K8DDVB4K","Human Relations","10.1177/a010699",2000
"119","Westergren, Albert; Karlsson, Siv; Andersson, Pia; Ohlsson, Ola; Hallberg, Ingalill Rahm","Eating difficulties, need for assisted eating, nutritional status and pressure ulcers in patients admitted for stroke rehabilitation","T3ZHUPIM","Journal of clinical nursing","10.1111/j.1365-2702.2001.00479.x",2001
"120","Chang, C. Edward; Witte, H. Doug","Performance Evaluation of U.S. Socially Responsible Mutual Funds: Revisiting Doing Good and Doing Well","ILQJCQGC","American Journal of Business","10.1108/19355181201000001",2010
"121","Brammer, Stephen; Pavelin, Stephen","Corporate Reputation and Social Performance: The Importance of Fit","MV2AV9TJ","Journal of Management Studies","10.1111/j.1467-6486.2006.00597.x",2006
"122","Bauer, Rob; Otten, Rogér; Rad, Alireza Tourani","Ethical investing in Australia: is there a financial penalty?","R49EJ938","Pacific-Basin Finance Journal","10.1016/j.pacfin.2004.12.004",2006
"123","Valor, Carmen; de la Cuesta, Marta","An empirical analysis of the demand of Spanish religious groups and charities for socially responsible investments","4ATKJ8SQ","Business Ethics: A European Review","10.1111/j.1467-8608.2007.00487.x",2007
"124","Sirmon, David G.; Lane, Peter J.","A model of cultural differences and international alliance performance","ZSQDDJJG","Journal of International Business Studies","10.1057/palgrave.jibs.8400089",2004
"125","Epstein, Marc J.; Widener, Sally K.","Facilitating sustainable development decisions: measuring stakeholder reactions","SJTII6XI","Business Strategy and the Environment","10.1002/bse.680",2011
"126","Muñoz-Torres, María Jesús; Fernández-Izquierdo, María Ángeles; Balaguer-Franch, Maria Rosario","The social responsibility performance of ethical and solidarity funds: an approach to the case of Spain","IP4ENE46","Business Ethics: A European Review","10.1111/j.1467-8608.2004.00363.x",2004
"127","Fernandez-Izquierdo, Angeles; Matallín-Sáez, Juan Carlos","Performance of Ethical Mutual Funds in Spain: Sacrifice or Premium?","KZGRLQ7R","Journal of Business Ethics","10.1007/s10551-007-9492-3",2007
"128","Ferri, Giovanni; Liu, Li-Gang","Assessing the effort of rating agencies in emerging economies: Some empirical evidence","IGFJ5YYQ","The European Journal of Finance","10.1080/13518470500039246",2005
"129","Bebbington, Jan","Sustainable development: a review of the international development, business and accounting literature","59I22Y9W","Accounting Forum","10.1111/1467-6303.00059",2001
"130","Williams, Geoffrey C.","Some Determinants of the Socially Responsible Investment Decision: A Cross-Country Study","3XZCQCAI","Journal of Behavioral Finance","10.1080/15427560709337016",2007
"131","Lewis, Alan; Mackenzie, Craig","Support for Investor Activism among U.K. Ethical Investors","B6NY2YKR","Journal of Business Ethics","10.1023/a:1006082125886",2000
"132","Barreda-Tarrazona, Iván; Matallín-Sáez, Juan Carlos; Balaguer‐Franch, Mª Rosario","Measuring Investors’ Socially Responsible Preferences in Mutual Funds","DE6YIGHI","Journal of Business Ethics","10.1007/s10551-011-0868-z",2011
"133","Geczy, Christopher C.; Stambaugh, Robert F.; Levin, David","Investing in Socially Responsible Mutual Funds","AZTNF3I7","SSRN Electronic Journal","10.2139/ssrn.416380",2003
"134","Benijts, Tim","A framework for comparing socially responsible investment markets: an analysis of the Dutch and Belgian retail markets.","SEGYFR6D","Business Ethics: A European Review","10.1111/j.1467-8608.2009.01578.x",2009
"135","Basso, Antonella; Funari, Stefania","Relative performance of SRI equity funds: An analysis of European funds using Data Envelopment Analysis","ATITGBX7","Research Papers in Economics","",2010
"136","Katz, Jeffrey P.; Swanson, Diane L.; Nelson, Lori K.","CULTURE‐BASED EXPECTATIONS OF CORPORATE CITIZENSHIP: A PROPOSITIONAL FRAMEWORK AND COMPARISON OF FOUR CULTURES","ACZYQJG2","The International Journal of Organizational Analysis","10.1108/eb028931",2001
"137","Brun, Isabelle; Rajaobelina, Lova; Ricard, Line","Online relationship quality: scale development and initial testing","5A9A3T8S","International Journal of Bank Marketing","10.1108/ijbm-02-2013-0022",2014
"138","StatmanMeir","Socially Responsible Mutual Funds (corrected)","VL2WPC6B","Financial Analysts Journal","10.2469/faj.v56.n3.2358",2000
"139","Bourque, Linda; Fielder, Eve","How to Conduct Self-Administered and Mail Surveys","IEXR4JLW","","",2003
"140","Cardone-Riportella, Clara; Samaniego-Medina, Reyes; Trujillo-Ponce, Antonio","What drives bank securitisation? The Spanish experience.","PJXCH8SW","Journal of Banking & Finance","10.1016/j.jbankfin.2010.05.003",2010
"141","Schueth, Steve","Socially Responsible Investing in the United States","2ALUWENQ","Journal of Business Ethics","10.1023/a:1022981828869",2003
"142","Schfer, Henry","International Corporate Social Responsibility Rating Systems","8X5DS9PA","Journal of Corporate Citizenship","10.9774/gleaf.4700.2005.wi.00012",2005
"143","Chan, Wai Kin; Wickramasinghe, Nilmini","Using the internet for financial disclosures: the Australian experience","22M9RDRH","International Journal of Electronic Finance","10.1504/ijef.2006.008841",2006
"144","Bauer, Rob; Derwall, Jeroen; Otten, Rogér","The Ethical Mutual Fund Performance Debate: New Evidence from Canada","C5FMRLFV","Journal of Business Ethics","10.1007/s10551-006-9099-0",2006
